post,country,clean_post,sentiment,post_length,vader_compound,vader_sentiment,textblob_sentiment,label,lstm_pred,lstm_sentiment
Slim & Strong! Benks Kevlar Fiber Cases for iPhone 17 Pro Max,United States,slim strong benks kevlar fiber cases iphone pro max,positive,51,0.5106,positive,positive,positive,2,positive
"iPhone 17 Pro Max Preorder Delivery Timeline ,what’s the Usual Trend?",India,iphone pro max preorder delivery timeline usual trend,negative,53,0.0,neutral,negative,negative,2,positive
"New Phone, New Setup",United States,new phone new setup,positive,19,0.0,neutral,positive,positive,2,positive
Maxwells refuse to connect to new iPhone 17 pro max through the app.,United States,maxwells refuse connect new iphone pro max app,negative,46,-0.296,negative,positive,positive,2,positive
Anyone else’s battery for iPhone 17 Pro Max draining very fast after updating to ios 26.1?,United States,anyone else battery iphone pro max draining fast updating ios,positive,61,0.0,neutral,positive,positive,2,positive
Why is FLOLAB low ratings and ships late?,United States,flolab low ratings ships late,negative,29,-0.2732,negative,negative,negative,2,positive
Cancelled.. Reordered from Best Buy,United States,cancelled reordered best buy,positive,28,0.4939,positive,positive,positive,2,positive
Are there any major problems with the iPhone 17 yet?  Does it have scratching or denting issues like some of the Pro models do?,United States,major problems iphone yet scratching denting issues like pro models,neutral,67,-0.1263,negative,positive,positive,2,positive
"I don’t want an iPhone 17/Air, but this design concept has me curious",Brazil,don want iphone air design concept curious,positive,42,0.3818,positive,negative,negative,2,positive
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,United States,beyond box unveils pre order freebies iphone series worth php,positive,61,0.5719,positive,positive,positive,2,positive
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,United States,beyond box unveils pre order freebies iphone series worth php,positive,61,0.5719,positive,positive,positive,2,positive
First Design: A Wavy MagSafe Charging Dock,United States,first design wavy magsafe charging dock,positive,39,0.0,neutral,positive,positive,2,positive
I just don’t understand the hate Apple can get,United States,don understand hate apple can get,negative,33,-0.5719,negative,negative,negative,2,positive
Super Moon Shot,United States,super moon shot,positive,15,0.5994,positive,positive,positive,2,positive
USB port on the iPhone 17 is just as fast as the one on the iPod nano 19 years ago.,United States,usb port iphone fast one ipod nano years ago,positive,44,0.0,neutral,positive,positive,2,positive
"My estimated shipping date changed to the past, what does this mean?",United States,estimated shipping date changed past mean,negative,41,0.0,neutral,negative,negative,2,positive
Top part of my iPhone 17 Pro screen looks a bit brighter than the bottom — normal?,United States,top part iphone pro screen looks bit brighter bottom normal,positive,59,0.5267,positive,positive,positive,2,positive
Finally upgrading and I’m sad,United States,finally upgrading sad,negative,21,-0.4767,negative,negative,negative,2,positive
Love these cameras! iPhone 17 Pro edited in Lightroom,United States,love cameras iphone pro edited lightroom,positive,40,0.6369,positive,positive,positive,2,positive
Is 'blue shift' when turning the phone normal on OLED iPhones?,United States,blue shift turning phone normal oled iphones,neutral,44,0.0,neutral,positive,positive,2,positive
iPhone 15 Pro Max: to fix or not to fix? It hates non genuine Apple parts,United States,iphone pro max fix fix hates non genuine apple parts,neutral,52,-0.4404,negative,positive,positive,2,positive
Het Ontstaan van Fair Repair,United States,het ontstaan van fair repair,positive,28,0.3182,positive,positive,positive,2,positive
iPhone 17 Vs Samsung Galaxy s25 for a life long android user,United States,iphone vs samsung galaxy life long android user,neutral,47,0.0,neutral,negative,negative,2,positive
How long you planning on keeping the iPhone 17?,United States,long planning keeping iphone,neutral,28,0.0,neutral,negative,negative,2,positive
iPhone 13 to iPhone 17. Very satisfied.,United States,iphone iphone satisfied,positive,23,0.4215,positive,positive,positive,2,positive
iPhone 17 12 month free multi network verification,United States,iphone month free multi network verification,positive,44,0.5106,positive,positive,positive,2,positive
"First iPhone – 15 Plus (pink), 16, 16 Plus, or 17?",United States,first iphone plus pink plus,neutral,27,0.0,neutral,positive,positive,2,positive
iPhone 17 Pro Deep Blue in the Luckycoin dark brown leather case,United States,iphone pro deep blue luckycoin dark brown leather case,neutral,54,0.0,neutral,negative,negative,2,positive
Loving the cameras,United States,loving cameras,positive,14,0.5994,positive,positive,positive,2,positive
iPhone 17 Pro used wrong eSim data when running 26.0 on first day. $80 in overages.,United States,iphone pro used wrong esim data running first day overages,negative,58,-0.4767,negative,negative,negative,2,positive
"Compact external storage for iPhone 17 Pro ProRes (not a long USB stick, not a dangling SSD)",United States,compact external storage iphone pro prores long usb stick dangling ssd,neutral,70,0.0,neutral,negative,negative,2,positive
Quite surprise a lot still on old iPhone?,United States,quite surprise lot still old iphone,positive,35,0.3384,positive,positive,positive,2,positive
New iPhone 17 pro running into this issue. Stuck on this any time I try to use the AI stuff. Anyone else?,United States,new iphone pro running issue stuck time try use ai stuff anyone else,negative,68,-0.25,negative,positive,positive,2,positive
iPhone 17 P from Best Buy,United States,iphone best buy,positive,15,0.6369,positive,positive,positive,2,positive
"Returning Base 17 for Pro -- What Does ""Like New"" Mean Exactly?",United States,returning base pro like new mean exactly,positive,40,0.3612,positive,negative,negative,2,positive
Morning Sky in New England Fall 2025 Edition,United Kingdom,morning sky new england fall edition,positive,36,0.0,neutral,positive,positive,2,positive
Is the iPhone 17 camera better than iPhone 15?,United States,iphone camera better iphone,positive,27,0.4404,positive,positive,positive,2,positive
Is the iPhone 17 camera better than iPhone 15?,United States,iphone camera better iphone,positive,27,0.4404,positive,positive,positive,2,positive
Should I buy the new iPhone 17 with or without plan?,United States,buy new iphone without plan,positive,27,0.0,neutral,positive,positive,2,positive
Free upgrade?,United States,free upgrade,positive,12,0.5106,positive,positive,positive,2,positive
New Update: Version 10.80.0,United States,new update version,positive,18,0.0,neutral,positive,positive,2,positive
USB port on the iPhone 17 is just as fast as the one on the iPod nano 19 years ago.,India,usb port iphone fast one ipod nano years ago,positive,44,0.0,neutral,positive,positive,2,positive
Supporting Travel + Sport activities with my first Watch?,United States,supporting travel sport activities first watch,positive,46,0.4404,positive,positive,positive,2,positive
PSA: AppleCare One Covering New iPhone Order Provisionally,United States,psa applecare one covering new iphone order provisionally,positive,57,0.0,neutral,positive,positive,2,positive
iPhone 17 Pro Max mod with SSD cooler maintains 90% stability in 3DMark stress test,United States,iphone pro max mod ssd cooler maintains stability dmark stress test,negative,67,-0.4215,negative,positive,positive,2,positive
iPhone 17 Pro Max AAA gaming test shows Resident Evil 4 running at 60 FPS without thermal throttling,United States,iphone pro max aaa gaming test shows resident evil running fps without thermal throttling,negative,89,-0.6597,negative,negative,negative,2,positive
"iPhone 17 Pro Max charges faster than ever, here’s how much [36 W compared to 30 W for the iPhone 16 Pro]",Mexico,iphone pro max charges faster ever much compared iphone pro,neutral,59,-0.2732,negative,positive,positive,2,positive
iPhone 17 Pro Max Review - Even BETTER Than You Think!,United States,iphone pro max review even better think,positive,39,0.4404,positive,positive,positive,2,positive
New iPhone Air & iPhone 17 Pro Max Challenges - SVP John Ternus Explains,United States,new iphone air iphone pro max challenges svp john ternus explains,positive,65,0.0772,positive,positive,positive,2,positive
New Report Lists RAM Amounts in iPhone 17 and iPhone 17 Pro Models,United States,new report lists ram amounts iphone iphone pro models,positive,53,0.0,neutral,positive,positive,2,positive
iPhone 17 Pro Max's Internal Design With Metal Battery Allegedly Leaks,United States,iphone pro max internal design metal battery allegedly leaks,neutral,60,0.0,neutral,negative,negative,2,positive
iPhone 17 Base Model Rumored to Feature Larger Display,United States,iphone base model rumored feature larger display,negative,48,0.0,neutral,negative,negative,2,positive
"Thicker, heavier iPhone 17 Pro Max revealed in new hands-on video",Mexico,thicker heavier iphone pro max revealed new hands video,positive,55,0.0,neutral,positive,positive,2,positive
iPhone 17 Pro Max Rumors Allegedly Refer to 'iPhone 17 Ultra' Model,United States,iphone pro max rumors allegedly refer iphone ultra model,negative,56,0.0,neutral,negative,negative,2,positive
Kuo: Next Year's Upgrade to 12GB RAM Will Be Limited to iPhone 17 Pro Max,Mexico,kuo next year upgrade gb ram will limited iphone pro max,negative,56,-0.2263,negative,negative,negative,2,positive
iPhone 17 Pro Max Will Be First to Feature Three 48MP Camera Lenses,United States,iphone pro max will first feature three mp camera lenses,positive,56,0.0,neutral,positive,positive,2,positive
Best color grading for iPhone 17,United States,best color grading iphone,positive,25,0.6369,positive,positive,positive,2,positive
"I never imagined to say this but, is Apple becoming one of the most budget friendly brands?",United States,never imagined say apple becoming one budget friendly brands,positive,60,0.4939,positive,positive,positive,2,positive
"Apple Aware of Issue With Apple Intelligence on Some iPhone 17 Models, Fix Coming",United States,apple aware issue apple intelligence iphone models fix coming,positive,61,0.4767,positive,positive,positive,2,positive
"New iPhone Air, iPhone 17, and iPhone 17 Pro have an anti-spyware feature",United States,new iphone air iphone iphone pro anti spyware feature,negative,53,-0.3182,negative,positive,positive,2,positive
"iPhone 17 Pro Teardown: Fascinating Battery, New Vapor Chamber & Scratchgate! | iFixit",United States,iphone pro teardown fascinating battery new vapor chamber scratchgate ifixit,positive,76,0.5423,positive,positive,positive,2,positive
iPhone 17 Pro Teardown Reveals Apple's New Approach to Thermal Management and Repairs,Mexico,iphone pro teardown reveals apple new approach thermal management repairs,positive,73,0.0,neutral,positive,positive,2,positive
"Apple's iPhone 17 ""cycle is better than we expected"", says Morgan Stanley's Erik Woodring",United States,apple iphone cycle better expected says morgan stanley erik woodring,positive,68,0.4404,positive,positive,positive,2,positive
iPhone 17 Pro Review - Something’s Missing,United States,iphone pro review something missing,negative,35,-0.296,negative,negative,negative,2,positive
"Apple iPhone 17 demand is ""quite strong,"" says BofA's Wamsi Mohan",United States,apple iphone demand quite strong says bofa wamsi mohan,positive,54,0.4754,positive,positive,positive,2,positive
"Apple iPhone 17 Unboxing, Hands-On & First Impressions! (Sage Green) | TechDaily",United States,apple iphone unboxing hands first impressions sage green techdaily,positive,66,0.2263,positive,positive,positive,2,positive
iPhone 17 Pro Scratch Gate is Real -- But its not your fault,United States,iphone pro scratch gate real fault,negative,34,-0.4019,negative,positive,positive,2,positive
Apple’s iPhone 17 Shows Device’s Staying Power — At Least for Now,Mexico,apple iphone shows device staying power least,negative,45,0.0,neutral,negative,negative,2,positive
iPhone 17: Using the New Dual Capture Video Feature,United States,iphone using new dual capture video feature,positive,43,0.0,neutral,positive,positive,2,positive
iPhone Air Beats iPhone 17 PM and S25 Ultra in Latest Battery Test,United States,iphone air beats iphone pm ultra latest battery test,positive,52,0.0,neutral,positive,positive,2,positive
"Early indications show the iPhone 17 will be a great cycle, says Deepwater's Gene Munster",United States,early indications show iphone will great cycle says deepwater gene munster,positive,74,0.6249,positive,positive,positive,2,positive
Two iPhone 17 Pro and iPhone Air Colors Appear to Scratch More Easily,United States,two iphone pro iphone air colors appear scratch easily,positive,54,0.34,positive,positive,positive,2,positive
Apple has told at least two suppliers to boost production of the entry-level model iPhone 17 by at least 30% after strong pre-orders,United States,apple told least two suppliers boost production entry level model iphone least strong pre orders,neutral,96,-0.0005,neutral,negative,negative,2,positive
Final Cut Pro for Mac and iPad Updated With New iPhone 17 Pro and iPadOS 26 Features,United States,final cut pro mac ipad updated new iphone pro ipados features,negative,61,-0.2732,negative,positive,positive,2,positive
iPhone 17 Pro Teardown: Big Upgrades Make Repair Harder?,United States,iphone pro teardown big upgrades make repair harder,neutral,51,0.0,neutral,negative,negative,2,positive
"Apple CEO Tim Cook on iPhone 17 launch: ""It's the most important day of the year for us.""",United States,apple ceo tim cook iphone launch important day year us,positive,54,0.2023,positive,positive,positive,2,positive
iPhone 17 goes on sale: Apple CEO Tim Cook opens flagship Fifth Avenue store in New York City,United States,iphone goes sale apple ceo tim cook opens flagship fifth avenue store new york city,positive,83,0.1027,positive,positive,positive,2,positive
Another Chinese reviewer with a clear focus on iPhone 17 photography and video capabilities (with English subtitles),United States,another chinese reviewer clear focus iphone photography video capabilities english subtitles,positive,92,0.3818,positive,positive,positive,2,positive
iPhone 17 battery life test shows strong results across the lineup.,United States,iphone battery life test shows strong results across lineup,positive,59,0.5106,positive,positive,positive,2,positive
Geekerwan’s Analysis of the iPhone 17 Series - A Huge Leap in Performance!,United States,geekerwan analysis iphone series huge leap performance,positive,54,0.3182,positive,positive,positive,2,positive
iPhone 17 Review | Skip the Pro? This Year’s Standard Model Is Seriously Impressive,Brazil,iphone review skip pro year standard model seriously impressive,positive,63,0.3818,positive,positive,positive,2,positive
Is the current criticism on iPhones (and Apple in general) warranted? Especially with the new Liquid Glass design choices?,United States,current criticism iphones apple general warranted especially new liquid glass design choices,negative,92,-0.4404,negative,positive,positive,2,positive
iPhone 17 Reviews: Choosing the Base Model 'No Longer Means Missing Out',United States,iphone reviews choosing base model longer means missing,negative,55,-0.296,negative,negative,negative,2,positive
iPhone 17/Pro/Air Unboxing: 1 Hot Take!,United States,iphone pro air unboxing hot take,positive,32,0.0,neutral,positive,positive,2,positive
"How come Apple is saying the iPhone 17 Pro features their first aluminium unibody, when the iPhone 6 also did?",United States,come apple saying iphone pro features first aluminium unibody iphone also,positive,73,0.0,neutral,positive,positive,2,positive
"Kuo: High Demand for iPhone 17 Models, But Questions Remain About iPhone Air",United States,kuo high demand iphone models questions remain iphone air,neutral,57,-0.128,negative,positive,positive,2,positive
PSA: You'll need a new charger to take advantage of iPhone 17 Pro's fast charging - 9to5Mac,United States,psa ll need new charger take advantage iphone pro fast charging mac,positive,67,0.25,positive,positive,positive,2,positive
The new iPhone 17 Center Stage camera with square pixels is clearly made for the iPhone Fold,United States,new iphone center stage camera square pixels clearly made iphone fold,positive,69,0.4019,positive,positive,positive,2,positive
"iPhone 17 sales off to a strong start in China, while iPhone Air launch is blocked",United States,iphone sales strong start china iphone air launch blocked,positive,57,0.296,positive,positive,positive,2,positive
"Apple's New N1 Chip in iPhone 17, iPhone 17 Pro, and iPhone Air Has a Wi-Fi 7 Limitation (“the N1 chip in all of the new iPhone models supports up to 160 MHz channel bandwidth for Wi-Fi 7, short of the standard's 320 MHz maximum.”)",United States,apple new chip iphone iphone pro iphone air wi fi limitation chip new iphone models supports mhz channel bandwidth wi fi short standard mhz maximum,positive,147,0.0772,positive,positive,positive,2,positive
Chinese pre-orders for Apple’s iPhone 17 break records amid strong demand,United States,chinese pre orders apple iphone break records amid strong demand,positive,64,0.4215,positive,positive,positive,2,positive
"Except the Air, 17 series is Apple's best launch of the decade. Surprised by the uncalled criticism.",United States,except air series apple best launch decade surprised uncalled criticism,positive,71,0.4939,positive,positive,positive,2,positive
All-New Apple Store in Downtown Detroit Opens on iPhone 17 and iPhone Air Launch Day,United States,new apple store downtown detroit opens iphone iphone air launch day,positive,67,0.0,neutral,positive,positive,2,positive
"Apple's Joz & John on iPhone 17 Pro: ""You want a fun color? How about Cosmic Orange, baby!""",United States,apple joz john iphone pro want fun color cosmic orange baby,positive,59,0.5574,positive,positive,positive,2,positive
"Apple's A19 Pro beats Ryzen 9 9950X in single-thread Geekbench tests — iPhone 17 Pro chip packs 11-12% CPU performance bump, GPU performance up 37% over predecessor",United States,apple pro beats ryzen single thread geekbench tests iphone pro chip packs cpu performance bump gpu performance predecessor,neutral,122,0.0,neutral,negative,negative,2,positive
No 256GB variant in base iPhone 16 anymore?,United States,gb variant base iphone anymore,negative,30,0.0,neutral,negative,negative,2,positive
"Lossless, realtime audio support in iPhone 17 and AirPods Pro 3? Sounds great, but if true why didn't Apple announce it?",United States,lossless realtime audio support iphone airpods pro sounds great true didn apple announce,positive,88,0.8625,positive,positive,positive,2,positive
iPhone 17 Base – The best of the iPhone releases this year… almost perfect!,United States,iphone base best iphone releases year almost perfect,positive,52,0.8228,positive,positive,positive,2,positive
iPhone 17 Introduces 'Groundbreaking' New Memory Security Feature,United States,iphone introduces groundbreaking new memory security feature,positive,60,0.34,positive,positive,positive,2,positive
"Sam Altman on iPhone 17 series: ‘First upgrade I’ve wanted in a while’, backs replacing Siri with ChatGPT Voice",United States,sam altman iphone series first upgrade ve wanted backs replacing siri chatgpt voice,positive,83,-0.0516,negative,positive,positive,2,positive
iPhone 17 - First Look & Hands-On! | Brian Tong,United States,iphone first look hands brian tong,positive,34,0.0,neutral,positive,positive,2,positive
Why does Apple’s iPhone 17 Pro ‘Clear’ Case have a white block that makes the design look worse?,United States,apple iphone pro clear case white block makes design look worse,negative,63,-0.5267,negative,negative,negative,2,positive
iPhone 17 Air - First Look & Hands-On! | Brian Tong,United States,iphone air first look hands brian tong,positive,38,0.0,neutral,positive,positive,2,positive
