post,clean_post,vader_sentiment,textblob_sentiment,label,label_num
iPhone 17 Pro Max Will Be First to Feature Three 48MP Camera Lenses,iphone pro max first feature three mp camera lens,neutral,positive,positive,1
Best color grading for iPhone 17,best color grading iphone,positive,positive,positive,1
"I never imagined to say this but, is Apple becoming one of the most budget friendly brands?",never imagined say apple becoming one budget friendly brand,positive,positive,positive,1
"Apple Aware of Issue With Apple Intelligence on Some iPhone 17 Models, Fix Coming",apple aware issue apple intelligence iphone model fix coming,positive,positive,positive,1
"New iPhone Air, iPhone 17, and iPhone 17 Pro have an anti-spyware feature",new iphone air iphone iphone pro antispyware feature,neutral,positive,positive,1
"iPhone 17 Pro Teardown: Fascinating Battery, New Vapor Chamber & Scratchgate! | iFixit",iphone pro teardown fascinating battery new vapor chamber scratchgate ifixit,positive,positive,positive,1
iPhone 17 Pro Teardown Reveals Apple's New Approach to Thermal Management and Repairs,iphone pro teardown reveals apple new approach thermal management repair,neutral,positive,positive,1
"Apple's iPhone 17 ""cycle is better than we expected"", says Morgan Stanley's Erik Woodring",apple iphone cycle better expected say morgan stanley erik woodring,positive,positive,positive,1
iPhone 17 Pro Review - Something’s Missing,iphone pro review somethings missing,negative,negative,negative,0
"Apple iPhone 17 demand is ""quite strong,"" says BofA's Wamsi Mohan",apple iphone demand quite strong say bofas wamsi mohan,positive,positive,positive,1
"Apple iPhone 17 Unboxing, Hands-On & First Impressions! (Sage Green) | TechDaily",apple iphone unboxing handson first impression sage green techdaily,positive,positive,positive,1
iPhone 17 Pro Scratch Gate is Real -- But its not your fault,iphone pro scratch gate real fault,negative,positive,positive,1
Apple’s iPhone 17 Shows Device’s Staying Power — At Least for Now,apple iphone show device staying power least,neutral,negative,negative,0
iPhone 17: Using the New Dual Capture Video Feature,iphone using new dual capture video feature,neutral,positive,positive,1
iPhone Air Beats iPhone 17 PM and S25 Ultra in Latest Battery Test,iphone air beat iphone pm ultra latest battery test,neutral,positive,positive,1
"Early indications show the iPhone 17 will be a great cycle, says Deepwater's Gene Munster",early indication show iphone great cycle say deepwaters gene munster,positive,positive,positive,1
Two iPhone 17 Pro and iPhone Air Colors Appear to Scratch More Easily,two iphone pro iphone air color appear scratch easily,positive,positive,positive,1
Apple has told at least two suppliers to boost production of the entry-level model iPhone 17 by at least 30% after strong pre-orders,apple told least two supplier boost production entrylevel model iphone least strong preorders,neutral,negative,negative,0
Final Cut Pro for Mac and iPad Updated With New iPhone 17 Pro and iPadOS 26 Features,final cut pro mac ipad updated new iphone pro ipados feature,negative,positive,positive,1
iPhone 17 Pro Teardown: Big Upgrades Make Repair Harder?,iphone pro teardown big upgrade make repair harder,neutral,negative,negative,0
"Apple CEO Tim Cook on iPhone 17 launch: ""It's the most important day of the year for us.""",apple ceo tim cook iphone launch important day year u,positive,positive,positive,1
iPhone 17 goes on sale: Apple CEO Tim Cook opens flagship Fifth Avenue store in New York City,iphone go sale apple ceo tim cook open flagship fifth avenue store new york city,positive,positive,positive,1
Another Chinese reviewer with a clear focus on iPhone 17 photography and video capabilities (with English subtitles),another chinese reviewer clear focus iphone photography video capability english subtitle,positive,positive,positive,1
iPhone 17 battery life test shows strong results across the lineup.,iphone battery life test show strong result across lineup,positive,positive,positive,1
Geekerwan’s Analysis of the iPhone 17 Series - A Huge Leap in Performance!,geekerwans analysis iphone series huge leap performance,positive,positive,positive,1
iPhone 17 Review | Skip the Pro? This Year’s Standard Model Is Seriously Impressive,iphone review skip pro year standard model seriously impressive,positive,positive,positive,1
Is the current criticism on iPhones (and Apple in general) warranted? Especially with the new Liquid Glass design choices?,current criticism iphones apple general warranted especially new liquid glass design choice,negative,positive,positive,1
iPhone 17 Reviews: Choosing the Base Model 'No Longer Means Missing Out',iphone review choosing base model longer mean missing,negative,negative,negative,0
iPhone 17/Pro/Air Unboxing: 1 Hot Take!,iphone proair unboxing hot take,neutral,positive,positive,1
"How come Apple is saying the iPhone 17 Pro features their first aluminium unibody, when the iPhone 6 also did?",come apple saying iphone pro feature first aluminium unibody iphone also,neutral,positive,positive,1
"Kuo: High Demand for iPhone 17 Models, But Questions Remain About iPhone Air",kuo high demand iphone model question remain iphone air,negative,positive,positive,1
PSA: You'll need a new charger to take advantage of iPhone 17 Pro's fast charging - 9to5Mac,psa youll need new charger take advantage iphone pro fast charging tomac,positive,positive,positive,1
The new iPhone 17 Center Stage camera with square pixels is clearly made for the iPhone Fold,new iphone center stage camera square pixel clearly made iphone fold,positive,positive,positive,1
"iPhone 17 sales off to a strong start in China, while iPhone Air launch is blocked",iphone sale strong start china iphone air launch blocked,positive,positive,positive,1
"Apple's New N1 Chip in iPhone 17, iPhone 17 Pro, and iPhone Air Has a Wi-Fi 7 Limitation (“the N1 chip in all of the new iPhone models supports up to 160 MHz channel bandwidth for Wi-Fi 7, short of the standard's 320 MHz maximum.”)",apple new n chip iphone iphone pro iphone air wifi limitation n chip new iphone model support mhz channel bandwidth wifi short standard mhz maximum,positive,positive,positive,1
Chinese pre-orders for Apple’s iPhone 17 break records amid strong demand,chinese preorders apple iphone break record amid strong demand,positive,positive,positive,1
"Except the Air, 17 series is Apple's best launch of the decade. Surprised by the uncalled criticism.",except air series apple best launch decade surprised uncalled criticism,positive,positive,positive,1
"Apple's Joz & John on iPhone 17 Pro: ""You want a fun color? How about Cosmic Orange, baby!""",apple joz john iphone pro want fun color cosmic orange baby,positive,positive,positive,1
No 256GB variant in base iPhone 16 anymore?,gb variant base iphone anymore,neutral,negative,negative,0
"Lossless, realtime audio support in iPhone 17 and AirPods Pro 3? Sounds great, but if true why didn't Apple announce it?",lossless realtime audio support iphone airpods pro sound great true didnt apple announce,positive,positive,positive,1
iPhone 17 Base – The best of the iPhone releases this year… almost perfect!,iphone base best iphone release year almost perfect,positive,positive,positive,1
iPhone 17 Introduces 'Groundbreaking' New Memory Security Feature,iphone introduces groundbreaking new memory security feature,positive,positive,positive,1
"Sam Altman on iPhone 17 series: ‘First upgrade I’ve wanted in a while’, backs replacing Siri with ChatGPT Voice",sam altman iphone series first upgrade ive wanted back replacing siri chatgpt voice,neutral,positive,positive,1
iPhone 17 - First Look & Hands-On! | Brian Tong,iphone first look handson brian tong,neutral,positive,positive,1
Why does Apple’s iPhone 17 Pro ‘Clear’ Case have a white block that makes the design look worse?,apple iphone pro clear case white block make design look worse,negative,negative,negative,0
iPhone 17 Air - First Look & Hands-On! | Brian Tong,iphone air first look handson brian tong,neutral,positive,positive,1
